state,year,hc-key,year_population,year_gdp
Johor,2020,my-jh,12798683.1,128078.493
Kedah,2020,my-kh,6803468.7,46044.173
Kelantan,2020,my-kn,5721859.5,25188.435
Melaka,2020,my-me,3186892.8,41027.639
Negeri Sembilan,2020,my-ns,5079669,46336.009
Pahang,2020,my-ph,3830519.7,54883.466
Pulau Pinang,2020,my-pg,5555396.7,92695.502
Perak,2020,my-pk,7967271.9,74267.228
Perlis,2020,my-pl,909440.7,5779.543
Selangor,2020,my-sl,22326244.5,326824.299
Terengganu,2020,my-te,3668605.5,33990.984
Sabah,2020,my-sa,10912689.9,77836.724
Sarawak,2020,my-sk,7831971,127559.034
W.P. Kuala Lumpur,2020,my-kl,6326663.7,217456.203
W.P. Labuan,2020,my-la,303559.2,7613.797
Johor,2021,my-jh,12831840,131314.846
Kedah,2021,my-kh,6868066.8,47517.775
Kelantan,2021,my-kn,5785061.1,25801.597
Melaka,2021,my-me,3206364,41904.895
Negeri Sembilan,2021,my-ns,5112147.6,47789.743
Pahang,2021,my-ph,3843168,55407.893
Pulau Pinang,2021,my-pg,8030234.1,99124.949
Perak,2021,my-pk,918019.2,76932.3
Perlis,2021,my-pl,5553681,5869.705
Selangor,2021,my-sl,10893218.7,344013.152
Terengganu,2021,my-te,7870115.4,35244.557
Sabah,2021,my-sa,22391520.9,79005.88
Sarawak,2021,my-sk,3737034,131585.066
W.P. Kuala Lumpur,2021,my-kl,6269008.2,219722.78
W.P. Labuan,2021,my-la,305913.3,7651.116
Johor,2022,my-jh,12858014.4,142073.142
Kedah,2022,my-kh,6904655.1,50947.135
Kelantan,2022,my-kn,5843235.3,26899.787
Melaka,2022,my-me,3218892.6,45499.587
Negeri Sembilan,2022,my-ns,5152566.3,50849.277
Pahang,2022,my-ph,3855018.3,61410.195
Pulau Pinang,2022,my-pg,8026124.4,112146.707
Perak,2022,my-pk,925041.6,80222.899
Perlis,2022,my-pl,5556912.9,6206.267
Selangor,2022,my-sl,10900959.3,384908.091
Terengganu,2022,my-te,7895451.9,37317.527
Sabah,2022,my-sa,22504278.3,81940.322
Sarawak,2022,my-sk,3787786.8,140176.337
W.P. Kuala Lumpur,2022,my-kl,6260509.5,239836.471
W.P. Labuan,2022,my-la,308985.6,7958.17
